PS1013V,PC,IT004C	44.0 	45.0 	46.0 	45.3 	39.5 	40.0 
PS1013V,PC,IT005C	15.6 	13.0 	12.0 	10.7 	19.8 	: 
PS1013V,PC,IT009C	45.5 	44.0 	49.0 	51.5 	44.4 	: 
PS1013V,PC,IT012C	40.7 	42.0 	35.0 	37.1 	37.8 	: 
PS1013V,PC,LT001C	41.8 	41.0 	35.0 	36.4 	42.9 	: 
PS1013V,PC,LU001C	43.5 	44.0 	38.0 	47.4 	38.8 	32.0 
PS1013V,PC,LV001C	44.8 	49.0 	53.0 	43.6 	33.1 	: 
PS1013V,PC,LV002C	: 	56.6 e	: 	: 	: 	: 
PS1013V,PC,LV003C	: 	50.4 e	: 	: 	: 	: 
PS1013V,PC,LV004C	: 	50.7 e	: 	: 	: 	: 
PS1013V,PC,LV005C	: 	54.9 e	: 	: 	: 	: 
PS1013V,PC,LV006C	: 	41.6 e	: 	: 	: 	: 
PS1013V,PC,LV007C	: 	55.4 e	: 	: 	: 	: 
PS1013V,PC,LV008C	: 	44.2 e	: 	: 	: 	: 
PS1013V,PC,LV009C	: 	49.5 e	: 	: 	: 	: 
PS1013V,PC,MT001C	25.8 	25.0 	17.0 	28.6 	23.5 	: 
PS1013V,PC,NL001C	44.4 	: 	: 	: 	: 	: 
PS1013V,PC,NL018C	44.1 	49.0 	48.0 	48.5 	41.0 	: 
PS1013V,PC,NL037C	34.9 	: 	: 	: 	: 	: 
PS1013V,PC,NO001C	43.5 	46.0 	50.0 	: 	: 	: 
PS1013V,PC,PL001C	50.5 	52.0 	51.0 	54.2 	42.4 	: 
PS1013V,PC,PL003C	49.4 	53.0 	42.0 	58.9 	38.5 	: 
PS1013V,PC,PL006C	50.2 	50.0 	47.0 	50.9 	39.6 	: 
PS1013V,PC,PL011C	46.6 	49.0 	46.0 	60.8 	40.9 	: 
PS1013V,PC,PT001C	44.2 	46.0 	49.0 	54.2 	38.7 	33.0 
PS1013V,PC,PT003C	50.7 	52.0 	52.0 	36.9 	38.8 	43.0 
PS1013V,PC,RO001C	41.0 	42.0 	39.0 	39.3 	32.8 	: 
PS1013V,PC,RO002C	44.2 	47.0 	47.0 	54.8 	46.3 	: 
PS1013V,PC,RO011C	45.5 	47.0 	37.0 	45.0 	42.5 	: 
PS1013V,PC,SE001C	46.6 	48.0 	49.0 	49.9 	48.0 	35.0 
PS1013V,PC,SE003C	42.4 	45.0 	48.0 	62.6 	47.8 	: 
PS1013V,PC,SI001C	39.2 	44.0 	37.0 	55.0 	45.0 	: 
PS1013V,PC,SK001C	40.9 	43.0 	41.0 	45.4 	25.9 	: 
PS1013V,PC,SK002C	38.2 	35.0 	43.0 	43.6 	44.3 	: 
PS1013V,PC,TR001C	29.0 	27.0 	32.0 	41.8 	29.4 	: 
PS1013V,PC,TR003C	27.8 	31.0 	26.0 	34.2 	36.6 	: 
PS1013V,PC,TR007C	23.9 	32.0 	31.0 	43.9 	33.3 	: 
PS1013V,PC,TR012C	30.6 	31.0 	34.0 	45.9 	29.2 	: 
PS1013V,PC,UK001C	41.5 	43.0 	35.0 	: 	: 	: 
PS1013V,PC,UK004C	40.1 	41.0 	35.0 	46.0 	33.2 	39.0 
PS1013V,PC,UK008C	: 	35.0 	35.0 	44.0 	31.3 	35.0 
PS1013V,PC,UK009C	42.1 	41.0 	40.0 	48.7 	37.3 	: 
PS1013V,PC,UK012C	34.1 	40.0 	37.0 	43.9 	30.2 	: 
PS1013V,PC,UK013C	: 	: 	: 	40.7 	32.2 	: 
PS1014V,PC,AT001C	3.3 	3.0 	7.0 	4.7 	6.2 	12.0 
PS1014V,PC,AT002C	20.3 	17.0 	23.0 	15.4 	26.8 	: 
PS1014V,PC,BE001C	18.0 	17.0 	17.0 	16.4 	18.9 	20.0 
